,lemma,main form,text,ent,count_terms,chi2
0,intelligence artificiel,intelligence artificielle,intelligence artificielle | intelligences artificielles | Intelligence artificielle | Intelligence Artificielle | intelligence artificielles | intelligence Artificielle | Intelligences Artificielles | Intelligences artificielles | intelligence artificiel,,2447,6905.2692532485435
1,temps réel,temps réel,temps réel | temps réels | TEMPS Réel,,333,1401.9938539066397
2,réseau social,réseau social,réseaux sociaux | réseau social,,274,1350.080956244021
3,nouveau technologie,nouvelles technologies,nouvelles technologies | nouvelle technologie | Nouvelles technologies,,197,870.9950125867597
4,machine learning,machine learning,machine learning | Machine Learning,,179,860.4563914028113
5,apprentissage automatique,apprentissage automatique,apprentissage automatique | Apprentissage automatique,,140,693.3926839106072
6,dernier année,dernières années,dernières années | derniers années | DERNIÈRES ANNÉES | dernière année,,130,574.1863229211514
7,voiture autonome,voiture autonome,voiture autonome | voitures autonomes | Voiture autonome | Voitures autonomes | voiture autonomes,,117,702.9496053124708
8,donnée personnel,données personnelles,données personnelles | Données personnelles | donnée personnelle,,117,632.335176348737
9,reconnaissance facial,reconnaissance faciale,reconnaissance faciale | Reconnaissance faciale,,104,911.2607640166641
10,grand nombre,grand nombre,grand nombre | grands nombres,,104,519.0355502733083
11,vie priver,vie privée,vie privée | Vie privée,,100,632.2915673147166
12,directeur général,directeur général,directeur général | Directeur Général | Directeur général,,96,510.79388853733514
13,grand public,grand public,grand public | GRAND PUBLIC | grands publics,,95,515.2355745246163
14,nouveau outil,nouveaux outils,nouveaux outils | nouvel outil | Nouvel outil | Nouveaux outils,,93,461.8772969750967
15,silicon valley,silicon valley,Silicon Valley,,93,615.858036714102
16,intelligence humain,intelligence humaine,intelligence humaine | intelligences humaines | intelligences humaine,,93,554.7059010138731
17,elon musk,elon musk,Elon Musk | ELON MUSK,,87,553.8953793315203
18,cerveau humain,cerveau humain,cerveau humain | cerveaux humains,,87,475.5132232484338
19,langage naturel,langage naturel,langage naturel,,86,535.7348750911428
20,relation client,relation client,relation client | relation clients | relations clients | Relation client | Relation Client | Relation Clients | relations client,,82,567.3140738907359
21,jeu vidéo,jeux vidéo,jeux vidéo | jeu vidéo | jeux vidéos | JEUX VIDÉO | Jeux vidéo,,81,499.8509221856649
22,long terme,long terme,long terme | LONG TERME,,81,428.8774072391215
23,apprentissage profond,apprentissage profond,apprentissage profond | Apprentissage profond | apprentissage profonds,,79,505.3879095647365
24,programme informatique,programme informatique,programmes informatiques | programme informatique,,77,392.5375489578355
25,grand groupe,grand groupe,grand groupe | grands groupes,,75,405.5394274336525
26,objet connecter,objet connecté,objets connectés | objet connecté | objets connectées,,72,404.39080961947013
27,assistant virtuel,assistant virtuel,assistants virtuels | assistant virtuel | assistante virtuelle | assistantes virtuelles,,72,422.5180572235074
28,site internet,site internet,site internet | sites Internet | site Internet | sites internet | Site internet | Site Internet,,69,352.0578813157739
29,intervention humain,intervention humaine,intervention humaine | interventions humaines,,69,381.75421393214026
30,an dernier,an dernier,an dernier,,68,362.66650323553324
31,monde entier,monde entier,monde entier,,66,336.0939091550627
32,être humain,êtres humains,êtres humains,,66,441.72342346093956
33,géant américain,géant américain,géant américain | Géant américain | géants américains,,64,338.21528361973606
34,grand entreprise,grandes entreprises,grandes entreprises | Grandes entreprises | grande entreprise | GRANDES ENTREPRISES,,64,343.0469305285894
35,expérience client,expérience client,expérience client | expériences clients | expérience clients | Expérience Client | expériences client,,62,368.37672123951825
36,assistant vocal,assistants vocaux,assistants vocaux | assistant vocal | Assistants vocaux | assistantes vocales,,61,391.32991031040933
37,neurone artificiel,neurones artificiels,neurones artificiels | NEURONES ARTIFICIELS | neurone artificiel | neurones artificiel,,59,493.08756631337263
38,up français,up française,up française | up françaises,,59,331.3546082695736
39,révolution industriel,révolution industrielle,révolution industrielle | révolutions industrielles | Révolution industrielle,,58,424.6023986540768
40,reconnaissance vocal,reconnaissance vocal,reconnaissance vocale | reconnaissance vocal,,58,305.5667975602841
41,stephen hawking,stephen hawking,Stephen Hawking,,57,336.3001994377761
42,grand échelle,grande échelle,grande échelle | grandes échelles,,57,321.46342593316825
43,modèle économique,modèle économique,modèle économique | modèles économiques,,56,321.0912084598229
44,vie quotidien,vie quotidien,vie quotidienne | vies quotidiennes | vie quotidien,,55,304.92076060450876
45,boîte noir,boîte noire,boîte noire | boîtes noires | Boîte noire | Boîtes noires,,55,328.5613799108929
46,thi article,this article,This article,,54,269.929853649893
47,ressource humain,ressources humaines,ressources humaines | RESSOURCES HUMAINES | Ressources humaines | Ressources Humaines,,54,317.2517627074036
48,mark zuckerberg,mark zuckerberg,Mark Zuckerberg | Mark ZUCKERBERG,,53,441.5004116322565
49,application mobile,applications mobiles,application mobile | applications mobiles | applications mobile | Applications mobiles | application mobiles,,53,285.97185753452965
50,enseignement supérieur,enseignement supérieur,enseignement supérieur | ENSEIGNEMENT SUPÉRIEUR | Enseignement supérieur | Enseignement Supérieur,,52,389.9528766734018
51,analyse prédictif,analyse prédictive,analyse prédictive | Analyse prédictive | analyses prédictives,,51,301.73861895766447
52,imagerie médical,imagerie médicale,imagerie médicale | imageries médicales,,50,314.6009298535306
53,véhicule autonome,véhicule autonome,véhicules autonomes | véhicule autonome,,50,314.509081199376
54,nouveau génération,nouvelle génération,nouvelle génération | nouvelles générations,,50,268.93305293930837
55,big dater,big data,big data | Big data,,49,264.88858101268494
56,réseau neuronal,réseau neuronal,réseaux neuronaux | réseau neuronal,,48,334.1980508691679
57,assistant personnel,assistants personnels,assistants personnels | assistant personnel | Assistants personnels | assistante personnelle,,47,308.08882814501413
58,essai clinique,essai clinique,essai clinique | essais cliniques,,47,335.6693800355487
59,tâche répétitif,tâche répétitive,tâche répétitive | tâches répétitives,,46,309.353194622337
60,prochain année,prochaines années,prochaines années,,46,252.63844227490873
61,service client,service client,service client | services clients | service clients | services client,,46,329.6635929273745
62,cédric villani,cédric villani,Cédric Villani,,45,279.57921024203534
63,réalité virtuel,réalité virtuelle,réalité virtuelle | réalités virtuelles | Réalité virtuelle,,45,360.3072735933218
64,haut niveau,haut niveau,haut niveau | hauts niveaux,,45,248.51485354847588
65,meilleur joueur,meilleur joueur,meilleurs joueurs | meilleur joueur,,44,271.535916331199
66,algorithme capable,algorithme capable,algorithme capable | algorithmes capables,,42,225.52786471138407
67,commission européen,commission européenne,Commission européenne | Commission Européenne | commission européenne,,42,309.44520972027135
68,semaine dernier,semaine dernière,semaine dernière,,41,226.53967610002258
69,donnée médical,donnée médicale,données médicales | donnée médicale,,41,231.80804066048822
70,question éthique,question éthique,questions éthiques | Question éthique | question éthique | Questions éthiques,,41,255.22342678248324
71,année dernier,année dernière,année dernière,,40,222.28340870587732
72,grand partie,grande partie,grande partie,,40,238.16079504201136
73,court terme,court terme,court terme,,40,243.45325715405602
74,open source,open source,open source,,39,239.2719626085781
75,deep learning,deep learning,deep learning,,39,255.22342678248333
76,union européen,union européenne,Union européenne | Union Européenne,,39,233.954807883943
77,personne âgé,personnes âgées,personnes âgées,,39,244.58911733321312
78,xxi siècle,xxi siècle,XXIe siècle | XXI siècle | xxie siècle,,38,224.38384637001312
79,transformation digital,transformation digitale,transformation digitale | Transformation digitale | transformations digitales,,38,252.31705689406328
80,donnée issu,données issue,données issues | données issue,,38,219.04137383739373
81,apprentissage machine,apprentissage machine,apprentissage machine | Apprentissage machine,,37,322.10688114135763
82,site web,site web,site web | sites Web | site Web | sites web,,37,221.1997669102962
83,université paris,université paris,université Paris | UNIVERSITÉ PARIS | Université Paris,,37,230.8432648179728
84,entreprise français,entreprise française,entreprises françaises | entreprise française,,37,226.59488317640105
85,commission national,commission nationale,Commission nationale | Commissions nationale | commission nationale,,36,205.01441811198188
86,laurent alexandre,laurent alexandre,Laurent Alexandre | Laurent ALEXANDRE,,34,385.6668632097769
87,innovation technologique,innovation technologique,innovation technologique | innovations technologiques,,34,186.3089042405169
88,robot tueur,robot tueur,robots tueurs | robot tueur,,34,337.9425392700949
89,massachusetts institute,massachusetts institute,Massachusetts Institute,,34,185.32332798682634
90,système informatique,système informatique,système informatique | systèmes informatiques,,34,201.67538633860514
91,code source,code source,codes sources | code source | codes source,,34,313.8708606368637
92,système intelligent,systèmes intelligents,systèmes intelligents | système Intelligent | système intelligent | Systèmes Intelligents,,33,180.82923058638406
93,leader mondial,leader mondial,leaders mondiaux | leader mondial | Leader mondial,,33,188.37014138227562
94,nouveau forme,nouvelle forme,nouvelles formes | nouvelle forme,,32,192.83343160488843
95,transformation numérique,transformation numérique,transformation numérique | Transformation numérique | transformations numériques,,32,196.1692878980398
96,emmanuel macron,emmanuel macron,Emmanuel Macron,,32,225.89059130858365
97,progrès technologique,progrès technologique,progrès technologiques | progrès technologique | Progrès technologique,,32,206.16573804776283
98,las vegas,las vegas,Las Vegas,,32,220.3810646913011
99,commande vocal,commande vocale,commande vocale | commandes vocales,,32,198.342958222171
100,santé public,santé publique,santé publique | Santé publique | Santé Publique,,31,183.87755015070735
101,pouvoir public,pouvoirs publics,pouvoirs publics,,31,177.28954483037705
102,révolution technologique,révolution technologique,révolution technologique | révolutions technologiques | Révolution technologique,,31,177.28954483037705
103,bon nouveau,bonne nouvelle,bonne nouvelle | Bonne nouvelle | Bonne Nouvelle | bonnes nouvelles,,31,178.3055031764435
104,institut national,institut national,Institut national | Institut National | institut national | Institut nationale,,31,171.74924655442777
105,agent conversationnel,agent conversationnel,agent conversationnel | agents conversationnels | agent conversationnels,,31,184.95961430386606
106,jean-gabriel ganascia,jean-gabriel ganascia,Jean-Gabriel Ganascia,,31,293.635808625312
107,nouveau algorithme,nouveaux algorithmes,nouvel algorithme | nouveaux algorithmes,,31,199.45073793417419
108,nouveau fonctionnalité,nouvelle fonctionnalité,nouvelles fonctionnalités | nouvelle fonctionnalité,,30,191.7171038579261
109,fort valeur,forte valeur,forte valeur | fortes valeurs,,30,200.59369107349892
110,service public,service public,services publics | service publique | service public,,30,191.71710385792613
111,chercheur américain,chercheur américain,chercheuse américaine | chercheurs américains | chercheur américain,,30,178.3055031764435
112,nouveau service,nouveaux services,nouveaux services,,30,189.4495971249712
113,grand défi,grand défi,grands défis | grand défi,,30,178.3055031764435
114,donald trump,donald trump,Donald Trump,,30,289.7464426617208
115,prochain mois,prochains mois,prochains mois,,30,178.3055031764435
116,traduction automatique,traduction automatique,traduction automatique | Traduction automatique | traductions automatiques,,29,205.5671032588084
117,yann lecun,yann lecun,Yann LeCun | Yann LECUN | Yann Lecun,,29,310.13060918193946
118,monde réel,monde réel,monde réel,,29,173.74994070969237
119,dernier mois,dernier mois,derniers mois | dernier mois,,29,173.74994070969237
120,alan turing,alan turing,Alan Turing | Alan TURING | alan turing,,28,214.27205725297628
121,this article,this article,This article,,28,157.88467376535093
122,grand quantité,grande quantité,grandes quantités | grande quantité,,28,158.8672307200665
123,traitement automatique,traitement automatique,traitement automatique | Traitement automatique,,28,174.80088881163852
124,bon sens,bon sens,bon sens | bons sens,,27,192.9102087315093
125,arme autonome,armes autonomes,armes autonomes | Armes autonomes,,27,266.6699944229687
126,think tank,think tank,THINK TANK | think tank | think tanks | Think Tank,,27,188.43651132057437
127,los angeles,los angeles,Los Angeles,,27,192.9102087315093
128,maintenance prédictif,maintenance prédictive,maintenance prédictive | Maintenance prédictive,,27,188.43651132057434
129,heure actuel,heure actuelle,heure actuelle,,27,158.8672307200665
130,xx siècle,xxe siècle,xxe siècle | XXe siècle | XXE siècle,,27,181.5625493943617
131,jeune femme,jeune femme,jeune femme | jeunes femmes,,27,181.5625493943617
132,droit réserver,droits réservés,droits réservés,,27,153.19340105149269
133,bill gates,bill gates,Bill Gates,,27,198.5840384000831
134,entreprise américain,entreprise américaine,entreprises américaines | entreprise américaine,,26,165.59572206959567
135,dossier médical,dossier médical,dossier médical | dossiers médicaux,,26,158.50457899613625
136,reconnaissance visuel,reconnaissance visuelle,reconnaissance visuelle | Reconnaissance visuelle | reconnaissance visuel,,26,251.24868176076583
137,signal faible,signal faible,signaux faibles | signal faible,,26,188.43651132057445
138,avancée technologique,avancée technologique,avancées technologiques | avancée technologique,,26,154.17532744410636
139,janvier dernier,janvier dernier,janvier dernier,,26,148.4651301313617
140,société français,société française,société française | Société française | sociétés françaises,,25,143.69844101818816
141,machine intelligent,machines intelligentes,machine intelligente | machines intelligentes | Machines intelligentes,,25,160.9422539403707
142,révolution numérique,révolution numérique,révolution numérique,,25,178.18606686255333
143,jeune entreprise,jeune entreprise,jeune entreprise | jeunes entreprises | Jeune Entreprise,,25,143.69844101818816
144,téléphone portable,téléphone portable,téléphone portable | téléphones portables,,25,157.3554694068288
145,bon pratique,bonne pratique,bonnes pratiques | bonne pratique,,25,155.19431629964322
146,crise sanitaire,crise sanitaire,crise sanitaire | Crise sanitaire,,24,157.3554694068288
147,étude clinique,étude clinique,étude clinique | études cliniques,,24,138.8918004931394
148,garry kasparov,garry kasparov,Garry Kasparov,,24,138.8918004931394
149,capacité humain,capacité humaine,capacités humaines | capacité humaine,,24,150.46611720090104
150,grand majorité,grande majorité,grande majorité,,24,144.67895884702023
151,enjeu majeur,enjeu majeur,enjeu majeur | enjeux majeurs,,24,138.8918004931394
152,université américain,université américaine,universités américaines | université américaine | Université américaine,,23,139.8715283616256
153,bnp paribas,bnp paribas,BNP Paribas,,23,215.63527289083947
154,sud ouest,sud ouest,Sud Ouest,,23,157.3554694068288
155,diagnostic médical,diagnostic médical,diagnostics médicaux | diagnostic médical | Diagnostic médical,,23,135.0224191448568
156,nouveau version,nouvelle version,nouvelle version | nouvelles versions,,23,139.8715283616256
157,science cognitif,science cognitive,sciences cognitives | science cognitive,,23,151.52748905842773
158,faux information,fausse information,fausses informations | fausse information,,23,157.35546940682877
159,ibm watson,ibm watson,IBM Watson,,23,169.01143010363091
160,crédit mutuel,crédit mutuel,Crédit Mutuel | Crédit mutuel,,23,227.29123358764153
161,assistant intelligent,assistant intelligent,assistant intelligent | assistants intelligents,,23,150.25754762987546
162,justice prédictif,justice prédictive,justice prédictive | Justice prédictive,,22,254.34464419179986
163,intelligence collectif,intelligence collective,intelligence collective | Intelligence collective,,22,140.89295910767666
164,directeur technique,directeur technique,directeur technique | DIRECTEUR TECHNIQUE,,22,135.0224191448568
165,mars dernier,mars dernier,mars dernier,,22,140.89295910767666
166,mai dernier,mai dernières,mai dernier | MAI Dernières,,22,135.0224191448568
167,éducation national,éducation nationale,Éducation nationale | éducation nationale | Éducation Nationale,,22,158.50457899613625
168,nouveau usage,nouveaux usages,nouveaux usages | nouvel usage,,22,129.15187918203694
169,analyse sémantique,analyse sémantique,analyse sémantique,,22,129.15187918203694
170,prochain étape,prochaine étape,prochaine étape | Prochaine étape | Prochaines étapes | prochaines étapes,,22,129.15187918203694
171,compagnie aérien,compagnie aérienne,compagnie aérienne | compagnies aériennes,,21,156.26784953507047
172,nouveau ère,nouvelle ère,nouvelle ère | Nouvelle ère,,21,130.12981795859525
173,fake news,fake news,fake news | FAKE NEWS,,21,189.27973521250217
174,revue scientifique,revue scientifique,revue scientifique | revues scientifiques,,21,136.04480968398596
175,nouveau solution,nouvelle solution,nouvelle solution | nouvelles solutions,,21,136.04480968398596
176,robot humanoïde,robot humanoïde,robots humanoïdes | robot humanoïde,,21,156.26784953507047
177,grand nom,grand nom,grands noms | grand nom,,21,136.04480968398596
178,faux positif,faux positif,faux positifs | faux positif,,21,160.96081700769085
179,technologie numérique,technologie numérique,technologies numériques | technologie numérique,,21,136.04480968398596
180,part entier,part entière,part entière,,21,130.12981795859525
181,aide précieux,aide précieuse,aide précieuse | Aide précieuse | aide précieuses,,20,119.23023482051175
182,sécurité informatique,sécurité informatique,sécurité informatique | Sécurité Informatique,,20,137.1147700435885
183,solution technologique,solution technologique,solutions technologiques | solution technologique,,20,126.2163400090954
184,nouveau modèle,nouveaux modèles,nouveaux modèles | Nouveaux modèles,,20,119.23023482051175
185,laurence devillers,laurence devillers,Laurence Devillers | Laurence DeVillers,,20,196.72988745384436
186,nouveau révolution,nouvelle révolution,nouvelle révolution | nouvelles révolutions,,20,144.2472457246804
187,donnée massif,données massives,données massives | Données massives,,20,150.25754762987546
188,livre blanc,livre blanc,livre blanc | Livre blanc | Livre Blanc | livres blancs,,20,178.84535223076762
189,débat public,débats publics,débat publics | débats publics | débat public | Débats Publics,,20,143.0762817846141
190,admission post-bac,admission post-bac,admission post-bac | Admission post-bac | Admission Post-Bac,,20,160.96081700769085
191,donnée disponible,données disponible,données disponibles | données disponible,,20,137.1147700435885
192,propriété intellectuel,propriété intellectuelle,propriété intellectuelle | Propriété intellectuelle | Propriété Intellectuelle,,20,193.9710463866422
193,xix siècle,xixe siècle,XIXe siècle,,20,137.11477004358852
194,politique public,politique publique,politique publique | politiques publiques,,20,121.23190399165138
195,service financier,services financiers,services financiers,,20,131.15325830256293
196,nouveau métier,nouveaux métiers,nouveaux métiers | Nouveaux métiers,,20,126.21634000909542
197,expérience utilisateur,expérience utilisateur,expérience utilisateurs | expérience utilisateur,,20,119.23023482051175
198,bon moment,bon moment,bon moment | bons moments,,20,125.19174656153734
199,lee sedol,lee sedol,Lee Sedol,,20,232.4989578999979
200,premier résultat,premiers résultats,premiers résultats,,20,131.1532583025629
201,traitement automatiser,traitement automatisé,traitement automatisé | traitement automatisés | traitements automatisés,,19,133.3550943908165
202,libre arbitre,libre arbitre,libre arbitre,,19,126.2163400090954
203,revue nature,revue nature,revue Nature,,19,120.20603810390038
204,octobre dernier,octobre dernier,octobre dernier,,19,120.2060381039004
205,ray kurzweil,ray kurzweil,Ray Kurzweil,,19,150.25754762987543
206,nouveau emploi,nouveaux emplois,nouveaux emplois | nouvel emploi,,19,162.2781514402655
207,neurone profond,neurones profond,neurones profonds | neurones profond,,19,177.35421020473254
208,up parisien,up parisienne,up parisienne,,19,114.19573619870538
209,juin dernier,juin dernier,juin dernier,,19,114.19573619870538
210,conduite autonome,conduite autonome,conduite autonome,,19,144.24724572468043
211,échelle mondial,échelle mondiale,échelle mondiale,,19,114.19573619870538
212,recherche scientifique,recherche scientifique,recherche scientifique | recherches scientifiques | recherche scientifiques,,19,114.19573619870538
213,niveau mondial,niveau mondial,niveau mondial,,19,114.19573619870538
214,grand base,grande base,grande base | grandes bases,,19,121.23190399165138
215,recherche fondamental,recherche fondamentale,recherche fondamentale | recherches fondamentales,,19,174.2987552506555
216,nouveau approche,nouvelle approche,nouvelles approches | nouvelle approche,,19,114.19573619870538
217,faible valeur,faible valeur,faible valeur | faibles valeurs,,19,132.2266419142904
218,prix nobel,prix nobel,prix Nobel | Prix Nobel,,19,132.2266419142904
219,modèle mathématique,modèle mathématique,modèles mathématiques | modèle mathématique,,19,144.24724572468045
220,cellule cancéreux,cellules cancéreuses,cellules cancéreuses,,19,114.19573619870538
221,activité cérébral,activité cérébrale,activité cérébrale | activités cérébrales,,18,189.58553504643822
222,donnée client,donnée client,données clients | données client | donnée client,,18,121.23190399165138
223,cadre juridique,cadre juridique,cadre juridique | cadres juridiques,,18,127.29349919123395
224,google home,google home,Google Home | Google home,,18,181.84785598747706
225,grand compte,grand compte,grands comptes | grand compte,,18,109.10871359248624
226,guerre mondial,guerre mondiale,Guerre mondiale | guerre mondiale,,18,115.17030879206881
227,page facebook,page facebook,page Facebook | pages Facebook,,18,115.17030879206881
228,parcours client,parcours client,parcours client | parcours clients,,18,128.4289108379097
229,classe moyen,classe moyenne,classes moyennes | classe moyenne,,18,128.4289108379097
230,machine capable,machine capable,machines capables | machine capable,,18,109.10871359248624
231,vie humain,vie humaine,vie humaine | vies humaines | vie humaines,,18,121.23190399165138
232,grand ville,grande ville,grande ville | grandes villes,,18,115.17030879206881
233,capacité cognitif,capacité cognitive,capacités cognitives | capacité cognitive,,18,163.66307038872935
234,manière général,manière générale,manière générale,,18,115.17030879206881
235,centre hospitalier,centre hospitalier,centre hospitalier | Centre hospitalier | centres hospitaliers | Centre Hospitalier,,17,116.19758599620403
236,logiciel capable,logiciel capable,logiciel capable | logiciels capables,,17,110.08192357535118
237,manière automatique,manière automatique,manière automatique,,17,103.96626115449834
238,révolution digital,révolution digitale,révolution digitale,,17,140.6602356796154
239,nombre croissant,nombre croissant,nombre croissant,,17,110.08192357535118
240,dispositif médical,dispositif médical,dispositifs médicaux | dispositif médical,,17,148.14770003262703
241,appareil photo,appareil photo,appareils photo | appareil photo | appareils photos,,17,116.19758599620403
242,facebook messenger,facebook messenger,Facebook Messenger | Facebook messenger,,17,134.54457325876257
243,espèce humain,espèce humaine,espèce humaine,,17,116.19758599620403
244,crédit agricole,crédit agricole,Crédit Agricole | Crédit agricole | CRÉDIT AGRICOLE,,17,140.66023567961545
245,revenu universel,revenu universel,revenu universel | Revenu universel | REVENU UNIVERSEL,,17,110.08192357535118
246,enjeu éthique,enjeu éthique,enjeux éthiques | enjeu éthique,,17,117.28359585916309
247,armée américain,armée américaine,armée américaine,,17,128.4289108379097
248,parlement européen,parlement européen,Parlement européen | Parlement Européen | parlement européen,,17,128.42891083790974
249,ia fort,ia forte,IA forte | IA fortes | ia forte,,17,119.66169557528916
250,évolution technologique,évolution technologique,évolution technologique | évolutions technologiques,,17,103.96626115449834
251,espace public,espace public,espace public | espaces publics,,17,116.19758599620403
252,robot capable,robot capable,robot capable | robots capables,,17,110.08192357535118
253,artificial intelligence,artificial intelligence,Artificial Intelligence | artificial intelligence | Artificial intelligence,,17,128.4289108379097
254,économique mondial,économique mondial,économique mondial | économique mondiale,,17,122.31324841705687
255,sens commun,sens commun,sens commun,,17,122.31324841705687
256,prochain semaine,prochaines semaines,prochaines semaines,,17,110.08192357535118
257,robot intelligent,robots intelligents,robots intelligents | robot intelligent | Robots intelligents,,17,105.9685727606569
258,grand volume,grand volume,grand volume | grands volumes,,17,103.96626115449834
259,liberté individuel,libertés individuelles,libertés individuelles | liberté individuelle | LIBERTÉS INDIVIDUELLES,,17,123.45641669385587
260,manière autonome,manière autonome,manière autonome,,17,110.08192357535118
261,problème éthique,problèmes éthiques,problèmes éthiques | problème éthique | Problèmes éthiques,,17,112.20201821716613
262,joueur professionnel,joueur professionnel,joueur professionnel | joueurs professionnels,,17,130.9023545866938
263,meilleur résultat,meilleur résultat,meilleurs résultats | meilleur résultat,,17,110.08192357535118
264,code informatique,code informatique,code informatique | codes informatiques,,16,98.76513335508471
265,société américain,société américaine,société américaine | sociétés américaines,,16,104.93795418977751
266,outil informatique,outil informatique,outil informatique | outils informatiques,,16,98.76513335508471
267,isaac asimov,isaac asimov,Isaac Asimov,,16,104.93795418977749
268,poids lourd,poids lourd,poids lourds | poids lourd,,16,117.28359585916311
269,donnée public,données publiques,données publiques,,16,135.80205836324149
270,grand école,grandes écoles,grandes écoles | grande école | Grandes Écoles,,16,100.76774364234876
271,outil numérique,outil numérique,outils numériques | outil numérique,,16,123.45641669385591
272,année prochain,année prochaine,année prochaine,,16,104.93795418977751
273,nouveau application,nouvelle application,nouvelles applications | nouvelle application,,16,98.76513335508471
274,empreinte digital,empreinte digitale,empreinte digitale | empreintes digitales | Empreinte digitale,,16,140.0734906809425
275,système automatiser,système automatisé,système automatisé | systèmes automatisés,,16,98.76513335508471
276,jeune pousse,jeunes pousses,jeunes pousses,,16,148.14770003262709
277,robot conversationnel,robot conversationnel,robots conversationnels | robot conversationnel,,16,98.76513335508471
278,nouveau méthode,nouvelle méthode,nouvelles méthodes | nouvelle méthode,,16,104.93795418977749
279,recherche médical,recherche médical,recherche médicale | recherche médical,,16,98.76513335508471
280,site spécialisé,site spécialisé,site spécialisé | sites spécialisés,,16,98.76513335508471
281,nouveau compétence,nouvelles compétences,Nouvelles compétences | nouvelles compétences | nouvelle compétence,,16,98.76513335508471
282,an prochain,an prochain,an prochain,,16,98.76513335508471
283,travail humain,travail humain,travail humain,,16,141.97487919793426
284,bon réponse,bonne réponse,bonne réponse | bonnes réponses,,16,98.76513335508471
285,meilleur décision,meilleure décision,meilleure décision | meilleures décisions,,16,117.28359585916309
286,direction général,direction générale,direction générale | Direction générale | Direction Générale | directions générales,,16,105.9685727606569
287,opinion public,opinion publique,opinion publique,,16,111.11077502447029
288,sécurité social,sécurité sociale,Sécurité sociale | sécurité sociale | sécurité social,,16,104.93795418977749
289,voiture électrique,voiture électrique,voiture électrique | voitures électriques,,16,104.9379541897775
290,article scientifique,article scientifique,articles scientifiques | article scientifique,,16,98.76513335508471
291,temps record,temps record,temps record,,16,117.28359585916311
292,second temps,second temps,second temps,,16,98.76513335508471
293,système complexe,système complexe,systèmes complexes | SYSTÈME COMPLEXE | Systèmes complexes | système complexe,,16,112.20201821716611
294,san francisco,san francisco,San Francisco | SAN FRANCISCO,,16,98.76513335508471
295,fin mars,fin mars,fin mars | Fin mars,,15,93.50168184763844
296,jeune fille,jeune fille,jeunes filles | jeune fille,,15,113.36371159764238
297,mot clé,mots clés,mots clés | Mots Clés,,15,93.50168184763844
298,société général,société générale,Société Générale | Société générale,,15,162.06958186923993
299,disque dur,disque dur,disques durs | disque durs | disque dur | Disque dur,,15,107.06572761999557
300,bon chose,bonne chose,bonne chose,,15,93.50168184763844
301,propre algorithme,propre algorithme,propre algorithme | propres algorithmes,,15,93.50168184763844
302,bon idée,bonne idée,bonnes idées | bonne idée,,15,99.73512730414767
303,point commun,point commun,point commun | points communs,,15,93.50168184763844
304,intelligence artificielle,intelligence artificielle,INTELLIGENCE ARTIFICIELLE,,15,99.73512730414767
305,domaine médical,domaine médical,domaine médical,,15,99.73512730414765
306,solution logiciel,solution logicielle,solution logicielle | solutions logicielles,,15,99.73512730414765
307,assemblée national,assemblée nationale,Assemblée nationale,,15,99.73512730414767
308,barack obama,barack obama,Barack Obama,,15,99.73512730414765
309,>>,>>,>>,,15,155.8361364127307
310,nouveau acteur,nouveaux acteurs,nouvel acteur | nouveaux acteurs,,15,99.73512730414767
311,article précédent,article précédent,Article précédent,,15,93.50168184763844
312,dernier livre,dernier livre,dernier livre,,15,99.73512730414767
313,société civil,société civile,société civile | sociétés civiles,,15,105.96857276065688
314,forum économique,forum économique,Forum économique | forum économique,,15,105.96857276065688
315,rémy demichelis,rémy demichelis,Rémy Demichelis,,15,93.50168184763844
316,up américain,up américaine,up américaine | up américaines,,15,99.73512730414767
317,décembre dernier,décembre dernier,décembre dernier,,15,93.50168184763844
318,système expert,système expert,systèmes experts | système expert | Système expert | système experts,,15,100.76774364234879
319,directrice général,directrice générale,directrice générale | Directrice Générale | Directrice générale,,15,93.50168184763844
320,site industriel,site industriel,sites industriels | site industriel,,15,107.06572761999558
321,esprit humain,esprit humain,esprit humain,,15,137.13580004320303
322,esprit critique,esprit critique,esprit critique | Esprit critique,,15,113.36371159764238
323,jeff bezos,jeff bezos,Jeff Bezos,,15,199.4702546082953
324,monde numérique,monde numérique,monde numérique | mondes numériques,,15,94.46975966470198
325,information personnel,information personnelle,informations personnelles | information personnelles | information personnelle,,15,93.50168184763844
326,véhicule électrique,véhicule électrique,véhicules électriques | véhicule électrique,,14,108.23860643527375
327,constructeur automobile,constructeur automobile,constructeur automobile | constructeurs automobiles,,14,89.1376758878725
328,donnée brut,donnée brute,données brutes | donnée brute,,14,101.87162958614
329,plein essor,plein essor,plein essor,,14,94.46975966470198
330,grand tendance,grande tendance,grandes tendances | grande tendance | Grande tendance | Grandes tendances,,14,95.50465273700625
331,outil technologique,outil technologique,outil technologique | outils technologiques,,14,88.17177568705519
332,grand débat,grand débat,grand débat | Grand débat,,14,115.93952678317451
333,education national,education nationale,Education nationale | Education Nationale,,14,94.469759664702
334,secteur financier,secteur financier,secteur financier,,14,113.36371159764239
335,jeune société,jeune société,jeune société | jeunes sociétés,,14,100.76774364234878
336,région parisien,région parisienne,région parisienne,,14,88.17177568705519
337,effet secondaire,effets secondaires,effets secondaires,,14,144.85363148587638
338,nouveau produit,nouveaux produits,nouveaux produits,,14,94.46975966470198
